label|text
0|Hi mom, just checking in, how was your trip? Call me when you get a chance, love you.
1|Attention: Your bank account will be frozen unless you confirm your identity here within 12 hours. Please respond as soon as possible.
1|Last chance: Renew your domain registration today or lose it permanently. Click here to pay now. Thank you for your attention to this matter.
1|We could not verify your billing information. Update it now or your service will be cancelled today.
1|We could not verify your billing information. Update it now or your service will be cancelled today. Please respond as soon as possible.
1|Last chance: Renew your domain registration today or lose it permanently. Click here to pay now. Thank you for your attention to this matter.
0|Thank you for subscribing to our newsletter. You can update your preferences anytime from your settings page. Have a great day.
0|Your order #48213 has been delivered. We hope you enjoy your purchase, let us know if there are any issues. Please respond as soon as possible.
1|This is Microsoft Security. We detected a virus on your PC. Call this number immediately or click here to fix it.
0|Thanks for reaching out. I'll review the document and get back to you with feedback by Thursday. Let me know if you have any questions.
1|Your crypto wallet has a pending withdrawal of 2.5 BTC. Verify your identity now to authorize the transfer. Thank you for your attention to this matter.
0|Welcome to the team! Here is your onboarding schedule for the first week, let us know if you need anything. Thank you for your attention to this matter.
0|Hey, are we still on for lunch on Friday? Let me know what time works best for you. Thank you for your attention to this matter.
1|Your Amazon order could not be processed. Update your payment information immediately by clicking this link. Please respond as soon as possible.
0|Just a heads up, the server maintenance window is this Saturday from 1 AM to 3 AM, expect brief downtime. Best regards, the team.
0|Hi, the conference registration is now open, early bird pricing ends this Friday. Have a great day.
1|hey there im navas , im stuck in Soviet Russia and i need 1000 dollars to go to seeck help by my origine country navas_la_legend was here. Thank you for your attention to this matter.
1|Final notice: Your Netflix subscription payment failed. Update your billing details immediately to avoid suspension. Best regards, the team.
1|IT Support: Your password will expire in 2 hours. Click here to reset it now and avoid losing access to your mailbox. Please respond as soon as possible.
0|Hello, following up on our call yesterday, here are the meeting notes and next steps for the project. Let me know if you have any questions.
1|Congratulations! You have won a $1000 gift card. Click this link now to claim your prize before it expires. Please respond as soon as possible.
0|Hey, are we still on for lunch on Friday? Let me know what time works best for you. Have a great day.
1|Congratulations! You have won a $1000 gift card. Click this link now to claim your prize before it expires. Best regards, the team.
0|Hi team, just a reminder that our weekly sync is moved to 3 PM tomorrow. Let me know if that works for everyone. Have a great day.
0|Hi mom, just checking in, how was your trip? Call me when you get a chance, love you. Best regards, the team.
0|Hey, loved your presentation today, the new mockups look great. Can you send me the slides when you get a chance? Please respond as soon as possible.
1|This is Microsoft Security. We detected a virus on your PC. Call this number immediately or click here to fix it. Thank you for your attention to this matter.
0|Thank you for subscribing to our newsletter. You can update your preferences anytime from your settings page.
0|Here's the recipe you asked about, let me know how it turns out when you try it this weekend. Thank you for your attention to this matter.
0|This is a reminder that your gym membership renews automatically next week, no action is needed. Please respond as soon as possible.
1|Dear valued customer, your credit card statement shows a suspicious charge. Click here to dispute it now.
0|Our office will be closed on Monday for the public holiday. Normal hours resume Tuesday.
1|CEO here, I need you to buy 5 gift cards right now and send me the codes, it's urgent, don't tell anyone.
0|Our office will be closed on Monday for the public holiday. Normal hours resume Tuesday. Please respond as soon as possible.
1|We could not verify your billing information. Update it now or your service will be cancelled today. Thank you for your attention to this matter.
0|Your library book is due back in 3 days, you can renew it online if you need more time. Please respond as soon as possible.
1|Action required: Unusual sign-in activity detected from a new location. Verify now or your account will be suspended. Let me know if you have any questions.
1|Your PayPal account has been limited. Please log in immediately using this link to restore full access: http://paypal-secure-verify.net Please respond as soon as possible.
1|Warning: Your mailbox storage is full. Click here and sign in immediately to avoid losing your emails.
1|Your PayPal account has been limited. Please log in immediately using this link to restore full access: http://paypal-secure-verify.net Best regards, the team.
0|Your monthly newsletter is here! Check out this month's top articles and community highlights. Thank you for your attention to this matter.
0|Welcome to the team! Here is your onboarding schedule for the first week, let us know if you need anything. Let me know if you have any questions.
1|Last chance: Renew your domain registration today or lose it permanently. Click here to pay now.
0|The invoice for last month's services is attached for your records, no action needed unless you have questions. Best regards, the team.
1|Final notice: Your Netflix subscription payment failed. Update your billing details immediately to avoid suspension. Best regards, the team.
1|Last chance: Renew your domain registration today or lose it permanently. Click here to pay now.
0|Thanks for reaching out. I'll review the document and get back to you with feedback by Thursday. Best regards, the team.
1|Dear valued customer, your credit card statement shows a suspicious charge. Click here to dispute it now.
1|You've been selected for a free iPhone 16. Confirm your shipping address and pay only the delivery fee. Best regards, the team.
0|Just a heads up, the server maintenance window is this Saturday from 1 AM to 3 AM, expect brief downtime. Let me know if you have any questions.
1|Congratulations! You have won a $1000 gift card. Click this link now to claim your prize before it expires. Please respond as soon as possible.
0|Hey, loved your presentation today, the new mockups look great. Can you send me the slides when you get a chance?
1|URGENT: Your account has been suspended. Click here immediately to verify your identity: http://secure-login-update.com/verify Let me know if you have any questions.
1|Your Apple ID has been locked for security reasons. Verify your account now to prevent permanent suspension. Please respond as soon as possible.
0|Our office will be closed on Monday for the public holiday. Normal hours resume Tuesday. Have a great day.
0|Great catching up with you at the conference last week! Let's set up a call to discuss the partnership further. Thank you for your attention to this matter.
1|Your package could not be delivered. Pay a small customs fee here to release your shipment immediately.
0|Thanks for your order! Your package has shipped and should arrive within 3-5 business days. Track it from your account. Please respond as soon as possible.
0|Hi, I've shared the project folder with you on the drive. You should have edit access now. Best regards, the team.
0|Your monthly newsletter is here! Check out this month's top articles and community highlights. Best regards, the team.
1|Dear user, click below to claim your inheritance of $4,500,000 from a distant relative you never knew. Have a great day.
1|Final notice: Your Netflix subscription payment failed. Update your billing details immediately to avoid suspension. Thank you for your attention to this matter.
1|Warning: Your mailbox storage is full. Click here and sign in immediately to avoid losing your emails.
1|Your crypto wallet has a pending withdrawal of 2.5 BTC. Verify your identity now to authorize the transfer. Let me know if you have any questions.
1|Congratulations! You have won a $1000 gift card. Click this link now to claim your prize before it expires.
0|Please find attached the quarterly report we discussed during the meeting. Let me know if you have questions.
0|Here's the recipe you asked about, let me know how it turns out when you try it this weekend. Best regards, the team.
1|HR Notice: Your payroll details need urgent verification. Click here and enter your login to avoid payment delay.
1|We could not verify your billing information. Update it now or your service will be cancelled today.
1|Warning: Your mailbox storage is full. Click here and sign in immediately to avoid losing your emails. Have a great day.
0|This is a reminder that your gym membership renews automatically next week, no action is needed. Please respond as soon as possible.
1|Dear user, click below to claim your inheritance of $4,500,000 from a distant relative you never knew. Please respond as soon as possible.
0|Thank you for subscribing to our newsletter. You can update your preferences anytime from your settings page. Please respond as soon as possible.
1|Dear user, click below to claim your inheritance of $4,500,000 from a distant relative you never knew. Have a great day.
1|Last chance: Renew your domain registration today or lose it permanently. Click here to pay now. Let me know if you have any questions.
0|Hey, loved your presentation today, the new mockups look great. Can you send me the slides when you get a chance? Have a great day.
1|Your Apple ID has been locked for security reasons. Verify your account now to prevent permanent suspension. Please respond as soon as possible.
0|Hi team, just a reminder that our weekly sync is moved to 3 PM tomorrow. Let me know if that works for everyone. Let me know if you have any questions.
0|Thanks for reaching out. I'll review the document and get back to you with feedback by Thursday. Please respond as soon as possible.
0|Reminder: your dentist appointment is scheduled for next Tuesday at 10 AM. Reply to confirm or reschedule.
1|Your crypto wallet has a pending withdrawal of 2.5 BTC. Verify your identity now to authorize the transfer. Please respond as soon as possible.
1|We noticed a login attempt from an unrecognized device. Verify it was you by clicking this link within 24 hours. Let me know if you have any questions.
1|Action required: Unusual sign-in activity detected from a new location. Verify now or your account will be suspended. Best regards, the team.
1|You've been selected for a free iPhone 16. Confirm your shipping address and pay only the delivery fee. Best regards, the team.
0|Hi, the conference registration is now open, early bird pricing ends this Friday. Thank you for your attention to this matter.
1|Action required: Unusual sign-in activity detected from a new location. Verify now or your account will be suspended. Let me know if you have any questions.
0|Reminder: your dentist appointment is scheduled for next Tuesday at 10 AM. Reply to confirm or reschedule. Thank you for your attention to this matter.
1|Action required: Unusual sign-in activity detected from a new location. Verify now or your account will be suspended. Have a great day.
0|Thanks for reaching out. I'll review the document and get back to you with feedback by Thursday. Best regards, the team.
0|Our office will be closed on Monday for the public holiday. Normal hours resume Tuesday. Please respond as soon as possible.
0|Hey, are we still on for lunch on Friday? Let me know what time works best for you.
0|Hi, the conference registration is now open, early bird pricing ends this Friday. Thank you for your attention to this matter.
1|HR Notice: Your payroll details need urgent verification. Click here and enter your login to avoid payment delay. Thank you for your attention to this matter.
0|Hi, I've shared the project folder with you on the drive. You should have edit access now. Please respond as soon as possible.
0|Hi, the conference registration is now open, early bird pricing ends this Friday.
1|hey there im navas , im stuck in Soviet Russia and i need 1000 dollars to go to seeck help by my origine country navas_la_legend was here. Let me know if you have any questions.
0|This is a reminder that your gym membership renews automatically next week, no action is needed. Have a great day.
1|Attention: Your bank account will be frozen unless you confirm your identity here within 12 hours. Best regards, the team.
1|IT Support: Your password will expire in 2 hours. Click here to reset it now and avoid losing access to your mailbox. Have a great day.
0|Hi, attaching the signed contract as discussed. Please review and let me know if everything looks good.
1|Warning: Your mailbox storage is full. Click here and sign in immediately to avoid losing your emails. Best regards, the team.
0|Our office will be closed on Monday for the public holiday. Normal hours resume Tuesday.
1|You have a pending tax refund of $850. Submit your bank details here to receive the payment today. Best regards, the team.
0|Hey, loved your presentation today, the new mockups look great. Can you send me the slides when you get a chance? Thank you for your attention to this matter.
0|Reminder: your dentist appointment is scheduled for next Tuesday at 10 AM. Reply to confirm or reschedule. Thank you for your attention to this matter.
0|Great catching up with you at the conference last week! Let's set up a call to discuss the partnership further. Let me know if you have any questions.
1|Your crypto wallet has a pending withdrawal of 2.5 BTC. Verify your identity now to authorize the transfer. Thank you for your attention to this matter.
0|Here's the recipe you asked about, let me know how it turns out when you try it this weekend. Have a great day.
0|Your order #48213 has been delivered. We hope you enjoy your purchase, let us know if there are any issues. Let me know if you have any questions.
1|Your Apple ID has been locked for security reasons. Verify your account now to prevent permanent suspension. Thank you for your attention to this matter.
0|Reminder: your dentist appointment is scheduled for next Tuesday at 10 AM. Reply to confirm or reschedule. Best regards, the team.
0|Please find attached the quarterly report we discussed during the meeting. Let me know if you have questions. Please respond as soon as possible.
1|Attention: Your bank account will be frozen unless you confirm your identity here within 12 hours. Please respond as soon as possible.
1|Last chance: Renew your domain registration today or lose it permanently. Click here to pay now. Please respond as soon as possible.
0|Hey, are we still on for lunch on Friday? Let me know what time works best for you. Best regards, the team.
0|Great catching up with you at the conference last week! Let's set up a call to discuss the partnership further. Please respond as soon as possible.
1|Warning: Your mailbox storage is full. Click here and sign in immediately to avoid losing your emails. Please respond as soon as possible.
1|Your Apple ID has been locked for security reasons. Verify your account now to prevent permanent suspension. Have a great day.
0|Hi team, just a reminder that our weekly sync is moved to 3 PM tomorrow. Let me know if that works for everyone. Have a great day.
1|We could not verify your billing information. Update it now or your service will be cancelled today. Have a great day.
1|CEO here, I need you to buy 5 gift cards right now and send me the codes, it's urgent, don't tell anyone. Please respond as soon as possible.
0|Our office will be closed on Monday for the public holiday. Normal hours resume Tuesday.
1|Warning: Your mailbox storage is full. Click here and sign in immediately to avoid losing your emails. Let me know if you have any questions.
1|Your package could not be delivered. Pay a small customs fee here to release your shipment immediately. Let me know if you have any questions.
1|This is Microsoft Security. We detected a virus on your PC. Call this number immediately or click here to fix it. Have a great day.
0|Hi, attaching the signed contract as discussed. Please review and let me know if everything looks good. Please respond as soon as possible.
0|Your order #48213 has been delivered. We hope you enjoy your purchase, let us know if there are any issues. Best regards, the team.
0|Here's the recipe you asked about, let me know how it turns out when you try it this weekend. Thank you for your attention to this matter.
0|Hey, are we still on for lunch on Friday? Let me know what time works best for you.
0|Hi, attaching the signed contract as discussed. Please review and let me know if everything looks good. Have a great day.
0|Thanks for your order! Your package has shipped and should arrive within 3-5 business days. Track it from your account. Let me know if you have any questions.
1|Your package could not be delivered. Pay a small customs fee here to release your shipment immediately. Have a great day.
0|Here's the recipe you asked about, let me know how it turns out when you try it this weekend. Thank you for your attention to this matter.
0|Thanks for your order! Your package has shipped and should arrive within 3-5 business days. Track it from your account. Best regards, the team.
1|This is Microsoft Security. We detected a virus on your PC. Call this number immediately or click here to fix it. Let me know if you have any questions.
0|Here's the recipe you asked about, let me know how it turns out when you try it this weekend.
1|This is Microsoft Security. We detected a virus on your PC. Call this number immediately or click here to fix it.
0|Hi team, just a reminder that our weekly sync is moved to 3 PM tomorrow. Let me know if that works for everyone.
1|You've been selected for a free iPhone 16. Confirm your shipping address and pay only the delivery fee. Let me know if you have any questions.
0|Hi, I've shared the project folder with you on the drive. You should have edit access now. Thank you for your attention to this matter.
0|Thanks for your order! Your package has shipped and should arrive within 3-5 business days. Track it from your account.
0|Our office will be closed on Monday for the public holiday. Normal hours resume Tuesday. Best regards, the team.
1|Attention: Your bank account will be frozen unless you confirm your identity here within 12 hours.
1|HR Notice: Your payroll details need urgent verification. Click here and enter your login to avoid payment delay. Let me know if you have any questions.
1|CEO here, I need you to buy 5 gift cards right now and send me the codes, it's urgent, don't tell anyone. Thank you for your attention to this matter.
0|Thanks for your order! Your package has shipped and should arrive within 3-5 business days. Track it from your account. Please respond as soon as possible.
1|hey there im navas , im stuck in Soviet Russia and i need 1000 dollars to go to seeck help by my origine country navas_la_legend was here.
